"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","step","test_name","test_suite"
2024-02-14 09:48:27,0,69099,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.85,0.320,0.0800,0.190,0.480,0.740,1,0.220,69099,13820,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:32,0,34115,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.22,0.990,0.320,0.930,1.22,1.69,2.08,0.380,34115,6823,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
2024-02-14 09:48:32,0,68220,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.14,0.320,0.0800,0.200,0.480,0.770,1.01,0.230,68220,13644,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:32,0,102337,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.87,0.640,0.180,0.610,0.810,1.22,1.56,0.310,102337,20467,load,2024-02-14_06.47.72_session_f02249c8,20,Reserve balance,test_http_api,gitter.io
2024-02-14 09:48:32,0,34115,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.65,2.93,1.21,2.88,3.35,4.10,4.69,0.660,34115,6823,load,2024-02-14_06.47.72_session_f02249c8,20,global information,test_http_api,gitter.io
2024-02-14 09:48:32,0,34115,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.75,0.340,0.0900,0.210,0.500,0.780,1.04,0.230,34115,6823,load,2024-02-14_06.47.72_session_f02249c8,20,Find balance,test_http_api,gitter.io
2024-02-14 09:48:32,0,34109,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.44,0.970,0.320,0.910,1.20,1.67,2.06,0.380,34109,6822,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:32,0,34111,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.52,0.960,0.300,0.910,1.19,1.67,2.06,0.380,34111,6822,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:37,0,33502,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.48,0.980,0.310,0.920,1.22,1.70,2.09,0.390,33502,6700,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:37,0,33506,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.42,0.980,0.290,0.920,1.22,1.70,2.11,0.390,33506,6701,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:37,0,67008,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.92,0.330,0.0800,0.200,0.490,0.780,1.04,0.230,67008,13402,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:37,0,33502,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.46,1.01,0.340,0.950,1.24,1.73,2.13,0.400,33502,6700,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
